iteration,ants_ms,evap_ms,comm_border_ms,comm_migrate_ms,update_ms,total_ms,global_food,total_ants
1924,2.29746,0.284154,0.001069,0.000642,0.003213,2.77133,0,5000
1925,2.2878,0.31688,0.001044,0.000617,0.003432,2.80525,0,5000
1926,2.26081,0.313866,0.001021,0.000536,0.00311,2.7645,0,5000
1927,2.27291,0.288274,0.00104,0.000466,0.003056,2.73855,0,5000
1928,2.25193,0.2842,0.001007,0.000633,0.003194,2.68803,0,5000
1929,2.26513,0.278458,0.001008,0.000548,0.003049,2.71983,0,5000
1930,2.2862,0.28281,0.001047,0.000583,0.003025,2.75116,0,5000
1931,2.2875,0.277134,0.001061,0.000512,0.003098,2.76109,0,5000
1932,2.2592,0.273675,0.00101,0.00055,0.003185,2.73244,0,5000
1933,2.28927,0.281959,0.001056,0.0005,0.003274,2.77123,0,5000
1934,2.29209,0.309629,0.001099,0.000726,0.00309,2.75456,0,5000
1935,2.2715,0.284651,0.00103,0.00049,0.0031,2.71351,0,5000
1936,2.25791,0.279242,0.001052,0.000524,0.00295,2.69227,0,5000
1937,2.24141,0.285351,0.001017,0.000528,0.003157,2.71015,0,5000
1938,2.23466,0.331052,0.001033,0.000478,0.002934,2.7574,0,5000
1939,2.27102,0.28788,0.001065,0.000512,0.003168,2.72346,0,5000
1940,2.29054,0.276053,0.001078,0.000546,0.003352,2.729,0,5000
1941,2.3057,0.272683,0.001039,0.000505,0.003275,2.76297,0,5000
1942,2.26799,0.289867,0.001038,0.000517,0.003027,2.75402,0,5000
1943,2.27184,0.266678,0.001045,0.000562,0.003184,2.73881,0,5000
1944,2.25203,0.271926,0.001034,0.00047,0.003239,2.71938,0,5000
1945,2.24337,0.283749,0.001033,0.000489,0.003058,2.71888,0,5000
1946,2.26703,0.276157,0.001008,0.00054,0.005189,2.7373,0,5000
1947,2.23734,0.273738,0.001351,0.000674,0.003073,2.66871,0,5000
1948,2.28006,0.277574,0.001048,0.000565,0.003152,2.73055,0,5000
1949,2.27845,0.288102,0.001035,0.000521,0.002962,2.75874,0,5000
1950,2.28497,0.279993,0.001074,0.000568,0.003477,2.713,0,5000
1951,2.2698,0.278049,0.001064,0.000525,0.003079,2.74672,0,5000
1952,2.27617,0.283795,0.001057,0.00054,0.00306,2.73729,0,5000
1953,2.28375,0.281691,0.001066,0.00051,0.003391,2.71382,0,5000
1954,2.26713,0.276592,0.001044,0.000518,0.003102,2.71167,0,5000
1955,2.29917,0.28293,0.001077,0.000557,0.003009,2.75956,0,5000
1956,2.25596,0.302178,0.001049,0.000511,0.003203,2.72646,0,5000
1957,2.24575,0.350955,0.001063,0.000504,0.003055,2.78838,0,5000
1958,2.27653,0.372807,0.000963,0.000544,0.003355,2.8463,0,5000
1959,2.3225,0.280414,0.001095,0.00051,0.003115,2.81306,0,5000
1960,2.26797,0.279397,0.001039,0.000473,0.002977,2.74371,0,5000
1961,2.29258,0.310598,0.001065,0.000613,0.003061,2.7998,0,5000
1962,2.3237,0.304859,0.001053,0.00053,0.003063,2.82477,0,5000
1963,2.26097,0.270804,0.001049,0.000483,0.006544,2.69794,0,5000
1964,3.04801,0.295253,0.001,0.00126,0.003355,3.53462,0,5000
1965,2.35696,0.313863,0.001226,0.000534,0.003151,2.8729,0,5000
1966,2.20634,0.293677,0.001024,0.000544,0.003315,2.65611,0,5000
1967,2.264,0.284869,0.001072,0.000546,0.003183,2.7401,0,5000
1968,2.29882,0.278562,0.001041,0.00053,0.003151,2.77913,0,5000
1969,2.22264,0.278552,0.001082,0.000526,0.003001,2.69783,0,5000
1970,2.26621,0.273963,0.001041,0.000472,0.003034,2.73217,0,5000
1971,2.24647,0.271603,0.001034,0.000565,0.003146,2.7133,0,5000
1972,2.26433,0.304107,0.001039,0.000495,0.003057,2.76793,0,5000
1973,2.32587,0.313007,0.00106,0.000522,0.002961,2.82848,0,5000
1974,2.24529,0.345132,0.001047,0.00048,0.002962,2.74395,0,5000
1975,2.24967,0.293422,0.001029,0.000573,0.003294,2.70646,0,5000
